CIL IV #,Reggio,Insula,Entrance,found?,In English,org. ,Literacy (1-3),In org. language,Context type specific,Context type general,Famous House,Category,Written by,Work,Meter,Repetition,Foreign language,Image ,Flohr Score,Socio-economic status,comments
4126,5,2,7,,"Trebonius to uche, buttshakingwise [...]",,3,,garden,house,,Insult,,,,,,,19.3,low,
4191,5,2,i,,All fell silent,,3,,peristyle,house,House of the silver wedding,Reference,Virgil,"Aeneid 2,1",Quote,yes,,,53.05,high,
4184,5,2,i,,"Bye, Spendusa",Williams 2010,2,,peristyle,house,House of the silver wedding,Social,,,,yes,,,53.05,high,70 pieces found in this house
4209,5,2,i,,Cocksucker,,2,,peristyle,house,House of the silver wedding,Insult,,,,,,,53.05,high,
4207,5,2,i,,Daphne is hungry together with [...],,3,,peristyle,house,House of the silver wedding,Sexual,,,,,,,53.05,high,
4192,5,2,i,,Echidia cocksucker,,2,,peristyle,house,House of the silver wedding,Sexual,,,,,,,53.05,high,
4212,5,2,i,,Fell silent...,,3,,peristyle,house,House of the silver wedding,Reference,Virgil,"Aeneid 2,1",partial quote,yes,,,53.05,high,
4206,5,2,I,,"Helenus, old faggot!",Solin 2008,2,,peristyle,house,House of the silver wedding,Insult,,,,,,,53.05,high,
4186,5,2,i,,"I call Sittia; you, Sit[tia], Sittia",,2,,peristyle,house,House of the silver wedding,Social,,,,,,,53.05,high,
4208,5,2,i,,"If for you, Cicero [...] you will get a beating",Williams 2010,3,,peristyle,house,House of the silver wedding,Political,,,,,,,53.05,high,"possible quote from schoolteacher, referencing Cicero"
4201,5,2,I,,Julius: faggot,,2,,peristyle,house,House of the silver wedding,Insult,,,,,,,53.05,high,Hints at gay sex
4196,5,2,i,,Medusa fucktress,Adams 1982 ,2,,peristyle,house,House of the silver wedding,Religious,,,,,,,53.05,high,Hints at lesbian sex
4158,5,2,i,,"Pyris, you suck cock",,2,,peristyle,house,House of the silver wedding,Sexual,,,,,,,53.05,high,
4185,5,2,i,,"Sabina, you suck cock, [but] you do not do it well",,2,,peristyle,house,House of the silver wedding,Sexual,,,,,,,53.05,high,
4189,5,2,i,,Theophilos spoke well about Beroe to the mistress,,3,[greek],peristyle,house,House of the silver wedding,Social,,,,,,,53.05,high,umlautted E in Beroe
4200,5,2,i,,Whoever loves me: come. To Venus' loins I want to...,,2,,peristyle,house,House of the silver wedding,Religious/Romantic,,,,,,,53.05,high,
4118,5,2,4,,Crescens greets the fullers and his owl; It's an owl!,,3,,peristyle,tabernae,House of the Triclinium,Social,two writers,,,yes,,inscription followed by small drawing of owl,2.39,low,
4120,5,2,4,,"Crescens greets the fullers, here and everywhere",Flohr 2013,2,,peristyle,tabernae,House of the Triclinium,Social,,,,yes,,,2.39,low,
4100,5,2,4,,Crescens the fuller greets the barkeep,,2,,peristyle,tabernae,House of the Triclinium,Social,,,,yes,,,2.39,low,Crescens is mentionedi n graffiti 12 times in this house
4109,5,2,4,,Crescens the fuller greets those from Stabiae,,2,,peristyle,tabernae,House of the Triclinium,Social,,,,yes,,,2.39,low,
4119,5,2,4,,Primus ... here ,,2,,peristyle,tabernae,House of the Triclinium,Sexual,,,,,,,2.39,low,
4107,5,2,4,,The fuller Lucius Quintilius Crescens has ruled here,,3,,peristyle,tabernae,House of the Triclinium,Civic/Political,,,,yes?,,,2.39,low,
4112,5,2,4,,Crescens and the owl sing to the fullers,,3,,peristyle,tabernae,House of the Triclinium,Religious,,,,,,,2.39,low,
4150,5,2,15,,Athenais: 2 asses; Sabina: 2 asses,,2,,peristyle,house,,Sexual,,,,,,,19.71,low,
4260,5,2,6,,Here I fucked on August 14th and 21st,,2,,room,tabernae,,Sexual,,,,,,,2.33,low,
4261,5,2,6,,If I remember...,,2,,room,tabernae,,Social,,,,,,,2.33,low,
4235,5,2,1,,Barbaric things bearded barbarically with barbaric beards,,2,,room,house,,Insult,,,"Metrical, meaningless",,,,23.02,medium,Didactic model for hexameter learning
4133a,5,2,7,,I [am] not a participant,,3,,tablinium,house,,,,,,,,"Near pictures of Hippolitus, Phaedra and the nurse",19.3,low,
4133b,5,2,7,,Not I,,2,,tablinium,house,,,,,,,,"Near pictures of Hippolitus, Phaedra and the nurse",19.3,low,
4268,5,2,,,Muse!,,2,,,,,Religious,Ennius,"Annals 1,1",possible quote,,,,,medium,
1241,6,2,16-21,,Secundus greets his fellow slaves upon his departure with joy.,,3,,entrance,house,House of Narcissus,Social,,,,,,,,low,
2319,6,2,16-21,,"Tyria, you suck it; Tyria, you suck it; Tyria taken hard from behind; Tyria taken hard from behind; [written by] Epaphroditus",Biville 2003/Adams 1982,3,mix of latin/greek,entrance,house,House of Narcissus,Sexual,,,possible meter?,,,,,low,
1240,6,2,12,,Venus has taught me to give and take [...],,3,,kitchen,,,Religious,,,,,,,,low,
1234,6,2,4,,"Little girl, you who are lovely, to you I am sent by him who loves you. Bye.",Milnor 2009,3,,room,house,House of Sallustius,Romantic,,,,,,,,low,
4257,6,2,5,,Fugitive neighbours...,,2,,,tabernae,,Insult,,,,,,,,low,
1679,7,2,45,maybe,"Undefeated Castrensis, may the gods be favourable to you, all three, and also to you , who reads this. Bravo, Hedone! Good health to whoever reads this. Bravo, Hedone! Good Health for whoever reads this. Hedone says: for 1 as you can drink here. If you give a dubble (as) you will drink better stuff; and with four, should you give them, you will drink Falernian Wine. Bravo, Castrensis!",,3,,atrium,tabernae,House of the bear,Social,,,,,,,1.32,low,
3061,7,2,51,,I do not want to sell my man! Whatever his price…man,,2,,atrium,house,,Civic,woman,,,,,,17.55,low,
1672,7,2,27-35,maybe,Fell silent...,,3,,atrium,,,Reference,Virgil,Aeneid,,,,,,high,
2312,7,2,20,,Cornelius Caesius faggot,,2,,entrance,house,House of N Popidius Priscus,Insult,,,,,,,44.38,high,
1684,7,2,45,maybe,greetings to his Victoria. Zosimus to his Victoria: greetings. I ask you to assist me in my old age if you think that I have no money…,,3,,entrance,tabernae,House of the bear,Social,,,,,,,1.32,low,
3139,7,2,16,,Of the Aeneads,,3,,façade,house,House of Gavius Rufus,Reference,Lucretius,,yes,,,,27.36,medium,
3117,7,2,16_17,,Serena loathes Isidorus,,2,,façade,,,Insult,,,,,,,,high,
2319,7,2,16-17,,"Vesbinus, faggot, Vitalio has buggered you.",,2,,façade,,,Insult,,,,,,,,high,
3146,7,2,3_6,,"Secundus shits here, shits here, shits here.",,2,,latrine,bakery,,Insult,,,,,,,,high,
3130,7,2,16,,Marcus Vecilius Verecundus tailor,,2,,peristyle,house,House of Gavius Rufus,Tagging,,,,,,,27.36,medium,
3135,7,2,16,,Romulus in the sky…,,2,,peristyle,house,House of Gavius Rufus,Reference,Ennius,Anals,yes,,,,27.36,medium,
3123,7,2,3_6,,Antiochus slave of Livia/Antiochus slave of Livia,,2,,peristyle,bakery,,Tagging,,,,,,,,high,
2311,7,2,20,maybe,House Pierced,,2,,,house,House of N Popidius Priscus,,,,,,yes,,44.38,high,
2953,7,2,18,,"Gaius Vibius Italus, enjoy your Atia!",,3,,,house,House of Gaius Vibius Italicus,Social,,,,,,,28.47,medium,
4703,7,2,,,Felicio Faggot!,,2,,,,,Insult,,,,,,,,high,
4917,8,2,36_37,,Albanus is a faggot,,2,,,house,House of Lucius Caecilius Phoebus,Insult,,,,,,,45.97,high,
4919,8,2,36_37,,"you took, used, carried away",,3,,,house,House of Lucius Caecilius Phoebus,Insult,,,,,yes,,45.97,high,
4880,8,2,17,,We have come,,2,,,temple,,Social,,,,,,,,low,
4874,8,2,20,,"May Vitalio, May Vitalio be healthy, for he is a musician",,3,,,,,Social,,,,,,,,low,
5002,9,2,26,,Of arms and the man…,,3,,atrium,house,,Reference,Virgil ,Aeneid,yes,,,,15.97,low,
3149,9,2,16,,Every (lover) is a soldier,,3,,entrance,house,,Reference,Ovid,Amores,yes,,,,17.07,low,
5048,9,2,26,,"Euplia sucks it for 5 asses, Euplia sucks it, Euplia",,3,,entrance,house,,Sexual,,,,,,,15.97,low,
5031,9,2,26,,I received your letter…,,2,,entrance,house,,Civic,,,,,,,15.97,low,
5007,9,2,26,,"May Damoetas give it to me, happier than Pasiphae; all this was written by Zosimus",,3,,entrance,house,,Reference,Virgil,Bucolics,,,,,15.97,low,
5011,9,2,26,,Reader or Mathematician or rhetor?,,2,,entrance,house,,Civic,,,,,,,15.97,low,
5022,9,2,26,,The chief of the Danai,,2,,entrance,house,,Tagging/Violence,,,,,,,15.97,low,
5037,9,2,26,,"Thrason, master of Helios: the slave Helios asks you …",,3,,entrance,house,,Social,,,,,yes,,15.97,low,
5032,9,2,26,,To Seianus dearly beloved,,2,,entrance,house,,Romantic,,,,,,,15.97,low,
5010,9,2,26,,We have won quickly!,,2,,entrance,house,,Violence,,,,,,,15.97,low,
4995,9,2,23_24,,Sollemnis licks cunt,,2,,façade,,,Sexual,,,,,,,,low,
4997,9,2,25_26,,Coresus cocksucker,,2,,façade,,,Sexual,,,,,,,,low,
3151,9,2,,,Fell silent...,,3,,façade,,,Reference,Virgil,Aeneid,yes,,,,,high,
4993,9,2,18,,Ampilatus (says): Pedania is a thief.,,3,,tablinum,house,,Insult,,,,,,,14.72,low,
2353,9,2,17,,"Campanians, greetings! Aulus to his Aulus: greetings!",,2,,,house,,Social,,,,,,,17.07,low,
2360,9,2,,,"He who writes this is in love, he who reads this is fucked he who hears this is horny, he who passes by gets it from behind May the bears eat me, and I who read this, I am a dick.",,3,,,,,Sexual,,,yes,,,,,high,
2354,9,2,,yes,If only now…,,2,,,,,,,,,,,,,high,
3992,1,3,3,,"Quintus Spurennius Priscus, Chief Centurion, (Chief) Centurion",Buonopane 2012,2,"Q Spvrennivs Priscvs, Primpilar(IS), Pilar(IS)",peristyle,,,Tagging,,,,,,,11.04,low,
4007,1,3,30,,"All the best to you, puppet! And may Venus of Pompeii be favourable to you (…)",?,3,Tv pvpa sc valeas sic habeas Venere Pompeanam propytia,peristyle,,,Religious,,,,,,,10.59,low,
3964,1,3,1,,"Communis: 3 asses Successus: 3 asses Nicephorus: 2 asses Amunus 4 asses Cresimus, house born a slave: 4 asses",?,2,Commvne * III Svccessvs * III Nicepor S II A Amvnvs * IV,,bakery,,Sexual,,,,Yes,,,3.97,low,
3999,1,3,27,,Glyco licks cunt for 2 asses,Varone 2005 99-100,2,Glyco Cvnnvm Lingit A II,,bakery,,Sexual,,,,,,,8.49,low,
8512,2,3,,,"Januarius, you lick cock.",?,2,Ianvari ligis (m)entvla,outer wall,altar,,Sexual,,,,,,,,low,
8505,2,3,,,"Priscus engraver, to Campanus, gemcutter: good luck!",?,2,Priscvs caelator campano gemmario fel,outer wall,altar,,Social,,,,,,,,low,
8842,3,3,3,,I am a chaste mother and I feed really all you buy,?,3,Casta svm mater et omnino alo qvod mercas,façade,,,Sexual/Social,,,,,,,,high,
8834,3,3,6,,"Nonsense, nonsense!",?,2,Nvga(e) nvgae,façade,,,,,,,,,,,high,
8837,3,3,6,,If you do your best to become chaste...,?,3,Casstv si fieri cer(tas),,,,Sexual,,,Hexameter beginning,,,,,high,
8841,3,3,6,,"Martialis, you suck Proculus' cock",?,2,Martialis fellas procvlvm,,,,Sexual,,,,,,,,high,
7698b,4,3,3,,"Behave kidnly and put off tiresome quarreling if you can, or retrace your steps back home!",?,3,(Vtere blandit)iis odiosaqve ivrgia differ si potes avt gressvs ad tva tecta refer,dining room,house,House of the moralist,Insult,,,,,,,,,accent
6701,5,3,9,,Thief; beware! If [...],,3,,facade,house,Casa della soffitta,Social,,,,,,,5.32,low,
6700,5,3,9,,"Vesbinus, barkeep, bye!",,2,,facade,house,Casa della soffitta,Social,,,,,,,5.32,low,
6707,5,3,9,,All fell silent,,3,,facade,house,House of Cosmus and Epidia,Reference,Virgil,"Aeneid 2,1",metrical,,,,5.32,low,
6702,5,3,9,,"Aufidius was here, bye!",,2,,facade,house,House of Cosmus and Epidia,Social,,,,,,,5.32,low,
6905,5,3,9,,N/A,,,,facade,house,House of Cosmus and Epidia,,,,,,,,5.32,low,
6721,5,3,10,,"On the 11th on October 11th, birthday",,2,,garden,house,,Civic,,,,,,,10.43,low,
4405,5,3,3,,"Marcus Terentius, 4 [fights] 4 [victories]",,2,,peristyle,house,house of the gladiators,Violence,,,,,,,21.03,medium,
4400,5,3,3,,Proculus Viscianus 3 [fights] 2 [victories],,2,,peristyle,house,house of the gladiators,Violence,,,,,,,21.03,medium,
6698,5,3,4,,[...] but why [do you take tear off] the sacred... I see the woods of the Ida,Cugusi 2008,3,,room,house,Casa della soffitta,Reference,Senica,Agamemnon 69,"metrical [iambic], quote",,,,21.03,medium,
6697,5,3,4,,"We came here desiring, much more we desire to leave",,3,,room,house,Casa della soffitta,Social,,,metrical [hexameter],,,,21.03,medium,
10202,6,3,5,,On august 27th we stayed in Pompeii,,3,,latrine,tabernae,,Civic,,,,,,Underneath drawing of phallus with two wreaths,,low,
2310b,7,3,29,,Euplia…here with two thousand beautiful men,,3,,atrium,house,,Sexual,,,,,,,18.85,low,
2310k,7,3,29,,"You godess, be present, (and) assist our work",,3,,atrium,house,,Reference,Virgil,Aeneid,yes,,,,18.85,low,
1611,7,3,38,,Good luck to the Salinese!,,2,,façade,,,Social,,,,,,,,high,
294,7,3,26_27,,Liberius Venustus,,2,,,inn,,Tagging,,,,,,,,high,
1994,8,3,21,,"Sextus Decimus Rufus, soldier of the 5th praetorian cohort, from the centuria of Martialis",,3,,,house,House of Lucius Caecilius Phoebus,Tagging/Violence,,,,,,,10.49,low,
1989,8,3,24,,A group of animal fighters will fight here on August 28th and Felix will fight the bears,,3,,,house,,Violence,,,,,,,21.36,medium,
2334,9,3,5,,Januarius: Faggot,,2,,column,house,House of Marcus Lucretius,Insult,,,,,,,31.34,medium,
2335,9,3,5,maybe,"Restitutus, slave of Nero",,2,,column,house,House of Marcus Lucretius,Political/Tagging,,,,,,,31.34,medium,
2338,9,3,5,,"Restitutus, faggot",,2,,entrance,house,House of Marcus Lucretius,Insult,,,,,,,31.34,medium,
5062,9,3,14-15,,Mother (is) drunk,,2,,façade,,,Insult,,,,,,,,low,
5064,9,3,16_17,,Only Mus is a faggot,,2,,façade,,,Insult,,,,,,,,low,
2331,9,3,5,,Labyrinth here lives the Minotaur.,,2,,peristyle,house,House of Marcus Lucretius,Religious,,,,,,maze,31.34,medium,
882,9,3,15,,Philocalus has fulfilled his vow willingly and thoroughly,,2,,,house,,Religious,,,,,,Isis,16.04,low,
2321,9,3,25,,"Lucius Clodius Varus, Lucius Cludius Varus, Pelagria, his wife",,2,,,house,House of Lucius Clodius Varus and Pelagria,Tagging,,,,,,,5.45,low,
879,9,3,5,,"To Marcus Lucretius, priest of Mars, Council member in Pompeii",,3,,,house,House of Marcus Lucretius,Tagging,,,,,,,31.34,medium,
2375,1,4,5,,"Ampliatus, Icarus buggers you! Written by Salvius ","Milnor 2009, 292-293",2,"Amplitate, Icarvs te pedicat, Salvivs scripsit",peristyle,,,Reference,Salvius,,,,,,83.82,high,
2377,1,4,5,,"Bye, Echio!","Franklin jr. 1987, 102 and n 670",2,Echio Va,peristyle,,,Social,,,,,,,83.82,high,
2383,1,4,5,,"For Lucius Popidius Secundus, Augustianus: Good luck! (…)",?,2,L Popio secundo Avgvstiano feliciter,peristyle,,,Social,,,,yes,,,83.82,high,
2374,1,4,5,,"Laculus (greets) Priscillus kindly, Epaphra wrote this and Elea finished it, both being horny",?,3,Lacvlvs priscillo amabiliter SCR Epapahra et pereg(it) Elea sitientes,peristyle,,,Sexual,Epaphra/Elea,,,,,,83.82,high,
2373,1,4,5,,"We've arrived, they've arrived",?,2,Venimus Venervnt ,,house,House of cither player,Social,,,,,,,83.82,high,
10149,2,4,7,,"Daughter, we shit well (here)!",?,3,(Felicit)er filia cacamvs,dining room,,Praedia of Julia Felix,Insult,,,,,,,,,
10154,2,4,10,,"Here … Pythia Prima with Sparitundiolus, just now",?,2,Pithia prima cvm sparitvndiolo nac modo,entrance,,Praedia of Julia Felix,Sexual,,,,,,,,low,
10150,2,4,10,,"Now that you have gone bankrupt eight times, it remains for you to do so sixteen times. You worked as a cook, a clay man, a pickler and a baker, you were a farmer and you worked as a a maker of small bronzes, you were a retailer and now you have to work as a jug man. (But) if you have licked cunt, you have had it all.",McCallum 2009 63-64,3,(Cvm) de[c]oxisti octies tibi svperat vt abeas sedecies coponivm fecisti cretaria fecisti salsamentaria fecisti pistorivm fecisti agricola fvisti aere minvtaria fecisti propola fvisti lagvncvlaria nvnc facis si cvnnv linxseeris consvmmaris omnia,entrance,,Praedia of Julia Felix,Sexual,,,,,,,,low,
10152b,2,4,10,,"Popidius brothers, wait! You have gone bankrupt eight times!",?,3,Popidi expectate octies decoxstis,entrance,,Praedia of Julia Felix,Civic,,,,,,,,low,
10147,2,4,10,,Prima,?,2,Prima,entrance,,Praedia of Julia Felix,,,,,,,,,low,
10153,2,4,10,,Prima … with her friend here,?,2,,entrance,,Praedia of Julia Felix,Sexual,,,,,,,,low,
10151 e 10156,2,4,10,,"Pythia Prima … with Sparitundiolus here, just now",?,2,Pithia prima cvm sparitvndiolo modo na©,entrance,,Praedia of Julia Felix,Sexual,,,,,,,,low,
10155,2,4,10,,The serving dish maker … with Africana here,Penal McCallum 2009 64,3,Scvtvlaris cvm africana nac,entrance,,Praedia of Julia Felix,Sexual,,,,,,,,low,
9887,2,4,13,,Felix makes a vow to the household gods,Cooley/Cooley 2014 150,3,Felix (…) laribvs conse(crat) votvm,kitchen,,Praedia of Julia Felix,Religious,,,,,,,,low,
10128,2,4,6,,"Boy loves girl, hel(lo) hello!",?,2,Vnvs amat vna sa sal,latrine,house,Praedia of Julia Felix,Romantic,,,,,,,70.34,high,
10129,2,4,6,,"Lick, Aspasia!",?,2,Lige aspasia,latrine,house,Praedia of Julia Felix,Sexual,,,,,,,70.34,high,
10132,2,4,6,,"You lick Julius' cock, Pacatus!",?,3,Ivll (mentvlam) lingis pacatvs,latrine,house,Praedia of Julia Felix,Sexual,,,,,,,70.34,high,
10111a,2,4,3,,"Caelus, of arms and a man…",?,3,Caelvs (a)rm(a vi)r(vmqve),peristyle,,Praedia of Julia Felix,Reference/Tagging,Virgil,Aeneid,"metrical, quote",,,,,low,
10119,2,4,6,,"Lite, you are worth 2 asses, Lite, (no!) 1 a(s)!",?,2,Lite es dipvndi lite aeris a,room,house,Praedia of Julia Felix,Insult/Sexual,,,,,,,70.34,high,
2493,2,4,2,,Augustus,?,2,Avgvstvs,staircase,,Praedia of Julia Felix,Political,,,,,,,,low,
8473,2,4,1,,Matrena with the nice ass,?,2,Matrena cvlibonia,,tabernae,Praedia of Julia Felix,Sexual,,,,,,,2.07,low,
8475,2,4,1,,Palmyra who makes men horny,Solin 2014 97,3,Pamhira siifera,,tabernae,Praedia of Julia Felix,Sexual,,,,,,,2.07,low,
7698a,3,4,3,,"Water must wash the feet and a slave must dry them, a napkin must cover the bed. Take care with our linen!",?,2,Ablvat vnda pedes pver et detergeat vos mappa torvm velet lintea nostra cave,dining room,house,House of the moralist,Insult,,,,,,,28.15,low,two accents?
7679,3,4,1,,"(...) Marcellus loves Praenstina, but she does not care",?,3,Marcellvs praenestinam amat et non cvratvr,facade,tabernae,,Romantic,,,,,,,5.88,low,
7678,3,4,1,,(...) sells pots for dregs (here.),Kruschwitz 20,3,Vasa faecaria ven(dit) ,facade,tabernae,,Civic,,,,,,,5.88,low,
8870,3,4,3,,"Goose, get out of Amoena's place!",?,3,Aser ab(i) amona loco,garden,house,House of the moralist,Insult,,,,,,,28.15,low,
8895,3,4,3,,The same one to praise and (...) the same one...,Lebek 1978,3,Ton avton tonavton anin kai ,,house,House of the moralist,Religious,"Menander, sentenia",,,,,,28.15,low,
6733,5,4,1,,Since March 19th our daily wage is overdue,,3,,entrance,house,,Civic,,,,,,,14.81,low,
6782,5,4,,,"[...] May he who loves be well, who ...",,3,,garden,house,,Romantic,,,,,,,23.15,medium,
6626,5,4,a,,"If decency in life is regarded as a good thing, then this man, Lucretius Fronto, is certainly worthy of this honorary office",,3,,outer wall,house,House of Marcus Lucretius Fronto,Political,,,,,,,23.15,medium,political?
6796,5,4,a,,"Marcus Lucretius Fronto, a couragous man, and decent",,2,,peristyle,house,House of Marcus Lucretius Fronto,Tagging,,,,,,,23.15,medium,second line scratched off
1578,7,4,57,,Lick Lais cunt,,2,,altar,house,House of figured capitals,Sexual,,,,,,,27.27,medium,
1569,7,4,48,,"Tiburtinus, his place",,2,,atrium,house,Casa delle caccia antica,Civic,,,,,,,20.67,medium,
2887,7,4,44,,"If anyone refuses Quinctius, he can go sit with the donkey!",,3,,latrine,tabernae,,Political,,,yes,,,,3.67,low,
6862,7,4,8,yes,I am a witness: here there's cocksucking,,2,,outer wall,,,Sexual,,,,,,,,high,
1574,7,4,51_31,,"Eulalus, may you be in good health with your wife Vera, and fuck her well, and",,3,,,house,House of Ariadne,Sexual/Social,,,,,,,,high,
2071,8,4,4,,"Salve, friends!",,2,,dining room,house,House of Holconius Rufus,Social,,,,,,,32.1,medium,
2066,8,4,4,,"When the weight of cares opresses my limbs, I use my hands to let the liberating gushes spurt out.",,3,,entrance,house,House of Holconius Rufus,Reference,Virgil,Aeneid,yes,,,,32.1,medium,
2069,8,4,4,,"If you're looking for a pastime, than strew millet and collect it",,3,,peristyle,house,House of Holconius Rufus,Insult,,,,,,,32.1,medium,
2070,8,4,4,,"On July 8th, lard:200 pounds; garlic: 250 bunches",,2,,peristyle,house,House of Holconius Rufus,Civic,,,,,,,32.1,medium,
763,8,4,,,Asbestus you lick cunt!,,2,,,,,Insult,,,,,,,,low,
762,8,4,,,"Good luck in your illness, Asbestus!",,3,,,,,Social,,,,,,,,low,
733,8,4,,,"Zeus, son of splendidly winning Hercules lives here. No evil may enter here.",,3,,,,,Religious,,,yes,,yes,,,low,
8898,2,5,3,,"Theophilus, you dog! Do not lick cunts of the girls along the wall!",Varone 2002 82 & Solin 2008 62-63,3,Tiopilvs canis cvnnv lingere no li pvellis in mvro,façade,,,Sexual,,,,,,,,low,
8903,3,5,4,,"Gaius Sabinius kindly greets Statius. traveler, in pompeii you eat bread, in nuceria you drink! In Nucer(ia)...",Kruschwitz/Campbell 2009,3,,entrance,,,Social,,,,,,,,high,
8899,3,5,4,,"You, a stranger still, the graves ask you not to piss on the bones. For if you wish to do a favour to this one, shit here. Here you see the monument of Nettle. Shitter, get out! It is not safe to open your ass here",Cugusi 2008 ,3,,entrance,,,Insult,,,Partially metrical,,,,,high,
8879b,3,5,2,,"Shoot, boy!",?,2,Eiacvla pvber,facade,,,Social,,,,,,,,high,
8883,3,5,2,,Terminalis kindly greets his sister,?,2,Terminailis sorori plvrima salvte,facade,,,Social,,,,,,,,high,
8897,3,5,3,,"Nymphe fucked, Amoenus fucked, Perennis fucked",?,2,,facade,tabernae,,Sexual,,,,,,,,high,
8888a-c,3,5,3,,"Triaria greets the fans of Paris, Triaria the fans of Paris, Triaria the fans of paris",Franklin jr. 1987,3,Triaria paridianis sal triaria paridianis triaria paridianis,facade,tabernae,,Social,,,,,,,,high,
8891,3,5,3,,"We came here desiring, writes Cornelius Martialis",?,3,,facade,tabernae,,Social,,,first part metrical,"yes, popular line",,,,high,
8873,3,5,1,,I deny all gods! (...),"Biville 2003, 221",2,Homnes nego deos,outer wall,tabernae,,Religious,,"Reference to muscial instruments, giraffe in illegable text",,,,,,high,
7714/7715,3,5,1,,"Shitter, beware evil! Or if you don't care, may the anger of Jupiter get you",?,2,Cacator cave malvm avt si contempseris habeas iove iratvm,,tabernae,,Insult/Social,,,,,,,,high,
4278,5,5,2,,"Thieves out, decent people in!",,3,,atrium,house,,Civic,,,,,,,9.08,low,
4418,5,5,3,," N/A No translation given, stated as name",,2,,peristyle,unit,house of the gladiators,,,,,,,,28.91,medium,
5461,5,5,3,,[greek alphabet],,2,[greek],peristyle,unit,house of the gladiators,Civic,children?,,,,yes,,28.91,medium,
5462,5,5,3,,[greek alphabet],,2,[greek],peristyle,unit,house of the gladiators,Civic,children?,,,,yes,,28.91,medium,
4408,5,5,3,,Be noble!,,2,,peristyle,unit,house of the gladiators,Civic,,,,,,,28.91,medium,
4297a-c,5,5,3,,Celadus from Octavius' school: 3 [fights] 3 [victories] Cela[dus] celadu[s],,2,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4341,5,5,3,,Celadus the Thracian,,2,,peristyle,unit,house of the gladiators,Tagging,,,,yes,,,28.91,medium,
4356,5,5,3,,"Celadus the Thracian and net-fighter; Crescens, master of the  girls",,3,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4280/4281,5,5,3,,"Charioteer Philippus from Tettius' school, 8 [fights], 8 [victories]",`,2,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,largest collection of graffiti in private space
4353,5,5,3,,"Crescens, net-fighter, doctor [...] of girls of the night, of the morning, and others",Varone 2002,2,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4385,5,5,3,,Dare everything!,,3,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4370,5,5,3,,I received the first prize,,2,[greek],peristyle,unit,house of the gladiators,Violence,,,metrical [dactyls],,,,28.91,medium,
4384,5,5,3,,"Marcus Terenius Chrysanthus colonist, 5 [fights], 5[ victories]",,2,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4325,5,5,3,,"Marcus terentius, colonist, 3 [fights], 2 [victories]",,2,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4287,5,5,3,,N/A,,,,peristyle,unit,house of the gladiators,,,,,,,,28.91,medium,
4300,5,5,3,,N/A,,,,peristyle,unit,house of the gladiators,,,,,,,,28.91,medium,
4299,5,5,3,,On July 28th Florus has won in Nuceria; on August 14th he has won in Herculaneum,,3,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4373,5,5,3,,OOOf the Aeneads,,2,,peristyle,unit,house of the gladiators,Reference,,"Lucretius 1,1 ",,,,,28.91,medium,
4345,5,5,3,,Pride of the girls: Celadus the Thracian,,2,,peristyle,unit,house of the gladiators,Tagging,,,,yes,,,28.91,medium,
4302,5,5,3,,"Rusticus Malius 12 [fights], 11 [victory laurels] Marcus Terentius, 3 [fights] 3 [victory laurels] [...]",,2,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4420,5,5,3,,"Samus, 1 [fight], 1 [victory] swordfigter, also horserider, lives here",,2,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4304,5,5,3,,"Servilius is in love, but he should not get the chance. Servilius, go lick cunt!",,3,,peristyle,unit,house of the gladiators,Romantic/Sexual,,,,,,,28.91,medium,
4289,5,5,3,,The girls' pride: Celadus,,2,,peristyle,unit,house of the gladiators,Tagging,,,,,,,28.91,medium,
4413,5,5,3,,"Venuleius, charioteer, 7 [fights] 7 [victories]",,2,,peristyle,unit,house of the gladiators,Violence,,,,,,,28.91,medium,
4397,5,5,3,,What the girls sigh about: Celadus the Thracian,,3,,peristyle,unit,house of the gladiators,Tagging,,,,yes,,,28.91,medium,
4342,5,5,3,,What the girls sigh about: the Thracian Celadus from Octavius' school 3 [fights] 3 [victories],,3,,peristyle,unit,house of the gladiators,Violence,,,,yes,,,28.91,medium,
4409,5,5,3,,"Whom I..., but...",,2,,peristyle,unit,house of the gladiators,Reference,Virgil,"Aeneid 1, 135","metrical, quote",,,,28.91,medium,
1262,6,5,17,,Oh happy me!,,2,,column,house,House of the Etruscan Column,Social,,,,,,,,low,
4429,6,5,10,,I am the block of Marcus Junius,,2,,entrance,,,Civic,,,,,,,,low,
1251,6,5,19,,The last [day] has come [...],,3,,entrance,house,House of the flowers,Reference,Virgil,"Aeneid 2, 324",metrical; poetry quote,,,,,low,
